DataRate_kbps,Src1_Eres_J,Src2_Eres_J,Src3_Eres_J,Src4_Eres_J,Src5_Eres_J,Src6_Eres_J,Src7_Eres_J,Src8_Eres_J
1,3.51190281250238,3.51091421875261,6.18750156249897,3.93191781250439,6.18170312499868,6.03175937500142,6.00207765625071,6.02150171875108
6,3.53338140625236,3.53289390625265,6.18590124999896,3.9537910937544,6.19092109374869,6.03483437500141,6.01089953125068,6.06084156250102
11,3.54437640625238,3.54451140625264,6.19331265624897,3.96548031250439,6.18946562499869,6.0411765625014,6.00164546875069,6.02731515625107
17,3.55671437500237,3.55663187500264,6.16507187499896,3.97755062500442,6.1943171874987,6.05578281250138,6.02650609375067,6.02485281250109
22,3.52002015625236,3.52022968750263,6.17467656249896,3.93973375000438,6.20402031249871,6.05674375000138,6.04096468750068,6.03832843750106
27,3.40415968750242,3.40416578125264,6.1208265624989,3.82543000000436,6.12817421874859,5.95968906250152,5.93245796875072,5.97234390625113
32,3.34150937500253,3.34157828125277,5.94825531249867,3.76207281250432,5.96354453124832,5.7709609375018,5.71484265625086,5.76969625000135
37,3.27178468750262,3.27100093750287,5.80557015624848,3.69207859375428,5.81136718749808,5.56070781250211,5.56722156250097,5.57729265625157
43,3.19369796875275,3.19296015625295,5.59157265624822,3.61389250000431,5.59886874999773,5.34834062500242,5.33282453125108,5.32400125000187
48,3.09971265625281,3.09932687500302,5.43453671874801,3.52003000000432,5.46270156249751,5.1540390625027,5.1375606250012,5.13588015625206
53,3.02711921875293,3.02698140625313,5.24190015624778,3.44702171875431,5.29014765624724,4.96454218750298,4.92720718750135,4.94992234375225
58,2.94072203125298,2.93990359375313,5.09222593749759,3.36097937500427,5.13101640624698,4.76601250000327,4.7234893750015,4.75366937500247
64,2.85373000000307,2.85335406250325,4.91265062499735,3.27389921875427,4.91253437499662,4.5378859375036,4.47911125000164,4.51620109375274
69,2.78471500000314,2.78389375000329,4.76048031249718,3.20426640625425,4.76973671874639,4.32609531250391,4.29837578125173,4.34420312500288
74,2.79339531250308,2.79209500000331,4.72750421874711,3.21293265625429,4.71879531249631,4.31168125000394,4.27061218750176,4.290447343753
79,2.81705875000315,2.81646062500329,4.73556765624712,3.23721062500423,4.72720468749633,4.30975937500394,4.25692656250179,4.31059796875301
84,2.82874234375316,2.82802468750329,4.72133874999708,3.24833031250421,4.73901015624634,4.30630000000394,4.24099750000175,4.32009859375306
90,2.8438557812531,2.84329375000329,4.74633718749712,3.26386421875422,4.72833671874633,4.31706250000393,4.25603875000176,4.29983218750311
95,2.87906593750311,2.8788306250033,4.73784718749708,3.29935421875424,4.74062734374635,4.30284062500395,4.24423421875177,4.29094750000313
100,2.90988812500311,2.90968328125328,4.72353624999709,3.32979906250425,4.73674609374634,4.28073906250398,4.26265328125177,4.31071281250316
